C	class_weight	gamma	kernel	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
100.0		0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0		1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0		1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0	balanced	1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0	balanced	100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0	balanced	1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0	balanced	0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0	balanced	0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0		1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0		100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0		0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0		100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0		0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0	balanced	1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0	balanced	100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0	balanced	1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0	balanced	0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0	balanced	0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
100.0		1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1.0		0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
10.0		0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1	balanced	0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01		100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01	balanced	1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1		0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01	balanced	100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1		1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01	balanced	1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1		100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01	balanced	0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1		1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01	balanced	0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01		1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1	balanced	0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1		0.01	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1	balanced	100.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01		0.1	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1	balanced	1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.1	balanced	1000.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
0.01		1.0	linear	0.43480769230769234	0.41930060952119774	0.4187166918049271	0.41621305422522853	0.6016290818375267
1000.0		1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0		1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0		100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0		1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0	balanced	100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0	balanced	0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.01		0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0	balanced	0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0	balanced	1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0	balanced	1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0	balanced	100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0	balanced	0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0	balanced	1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0	balanced	0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0		0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.01		1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0		0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0		0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.01		1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0		1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0		100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.01		100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0		0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.1		0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.1		1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0		1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0		0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0		1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0		100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0		1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	balanced	0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	balanced	0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	balanced	1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	balanced	100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1.0	balanced	1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.01		0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0		0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0		0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
100.0		0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
1000.0	balanced	1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.1		0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.1		100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0		1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0	balanced	1000.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0	balanced	0.01	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.1		1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0	balanced	0.1	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0	balanced	100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0		100.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
10.0	balanced	1.0	rbf	0.42198717948717956	0.14066239316239315	0.33333333333333337	0.19780511885775043	0.5
0.01	balanced	0.01	rbf	0.3527564102564103	0.11758547008547007	0.33333333333333337	0.17204630624179496	0.5
0.01	balanced	100.0	rbf	0.3527564102564103	0.11758547008547007	0.33333333333333337	0.17204630624179496	0.5
0.01	balanced	1000.0	rbf	0.3527564102564103	0.11758547008547007	0.33333333333333337	0.17204630624179496	0.5
0.01	balanced	1.0	rbf	0.3527564102564103	0.11758547008547007	0.33333333333333337	0.17204630624179496	0.5
0.01	balanced	0.1	rbf	0.3527564102564103	0.11758547008547007	0.33333333333333337	0.17204630624179496	0.5
0.1	balanced	1.0	rbf	0.34794871794871796	0.11598290598290598	0.33333333333333337	0.1706067042201496	0.5
0.1	balanced	0.01	rbf	0.34794871794871796	0.11598290598290598	0.33333333333333337	0.1706067042201496	0.5
0.1	balanced	100.0	rbf	0.34794871794871796	0.11598290598290598	0.33333333333333337	0.1706067042201496	0.5
0.1	balanced	1000.0	rbf	0.34794871794871796	0.11598290598290598	0.33333333333333337	0.1706067042201496	0.5
0.1	balanced	0.1	rbf	0.34794871794871796	0.11598290598290598	0.33333333333333337	0.1706067042201496	0.5
